questionId,optionId,dimensionCode,subdimensionCode,variantType,primarySignal,secondarySignals,primaryAxisContribution,secondaryAxisModifiers,signalStrength,confidenceBand,sensitivityHandling,reviewRouting,crossFamilyHandling,safetyNotes,correctionNotes
Q001,A,DR,DR_STARTING_POINT,core_behavior,small_start,schedule_reframe,[baseline_tendency_axis] + [rhythm_structure_axis],modifier_only: schedule_reframe,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q001,B,DR,DR_STARTING_POINT,core_behavior,delayed_entry,none,[baseline_tendency_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q001,C,DR,DR_STARTING_POINT,core_behavior,contextual_entry,"inner_weight_accumulation, schedule_reframe","[baseline_tendency_axis] + [rhythm_structure_axis, emotional_load_axis]",inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q001,D,DR,DR_STARTING_POINT,core_behavior,socially_triggered_entry,social_modulation,"[baseline_tendency_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q001,E,DR,DR_STARTING_POINT,core_behavior,preparation_needed,criteria_awareness,"[baseline_tendency_axis] + [rhythm_structure_axis, clarity_decision_axis]",criteria_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,public_safe,none,modifier_only,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q002,A,DR,DR_STARTING_POINT,scenario_pressure,small_start,none,[pressure_response_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q002,B,DR,DR_STARTING_POINT,scenario_pressure,delayed_entry,none,[pressure_response_axis] + [rhythm_structure_axis],none,3,H,public_safe,none,native_source_contribution,internal_private_no_public_copy,unchanged
Q002,C,DR,DR_STARTING_POINT,scenario_pressure,contextual_entry,none,[pressure_response_axis] + [rhythm_structure_axis],none,2,M,public_safe,none,native_source_contribution,internal_private_no_public_copy; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q002,D,DR,DR_STARTING_POINT,scenario_pressure,socially_triggered_entry,social_modulation,"[pressure_response_axis, social_context_modulation_axis] + [rhythm_structure_axis, social_distance_axis]",social_modulation: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_low,needs_review,modifier_only,no_reply_or_contact_advice; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
Q002,E,DR,DR_STARTING_POINT,scenario_pressure,preparation_needed,"inner_weight_accumulation, criteria_awareness","[pressure_response_axis] + [rhythm_structure_axis, emotional_load_axis, clarity_decision_axis]",inner_weight_accumulation: cross-family auxiliary modifier; does not create independent subdimension conclusion; criteria_awareness: cross-family auxiliary modifier; does not create independent subdimension conclusion,2,M,private_medium,needs_review,modifier_only,non_clinical_emotional_load_boundary; privacy_routing_not_severity; sensitivity_not_severity; confidence_not_intensity,"DR/CL high-strength recalibrated from 3 to 2 because evidence is contextual, broad, modifier-heavy, or cross-family contained; confidenceBand decoupled from signalStrength: H -> M"
